circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,_resource_id,_source_resource_id
Telangana Circle,Hyderabad Region,Hanamkonda Division,Jadalpet B.O,506170,BO,Non Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3690203,79.7398632,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Relakunta B.O,506350,BO,Delivery,WARANGAL,TELANGANA,18.0792252,79.8205965,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramachandrapuram B.O,506221,BO,Delivery,JANGOAN,TELANGANA,17.7954983,78.9449683,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Akinepalli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3614001,79.5950964,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddakomati Palli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3396879,79.6000073,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pidicilla B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3072561,79.6063575,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Vemulapalli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2778600,79.6122286,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abbapur B.O,506343,BO,Delivery,Mulugu,TELANGANA,18.1662582,79.9346789,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bandarupalli B.O,506343,BO,Delivery,Mulugu,TELANGANA,18.1662582,79.9346789,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Narlapur B.O,506391,BO,Delivery,WARANGAL,TELANGANA,18.2414939,79.6011127,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mustialpalli B.O,506391,BO,Delivery,WARANGAL,TELANGANA,18.159929999999999,79.614320000000006,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Oorattam B.O,506347,BO,Delivery,Mulugu,TELANGANA,18.3228717,80.2191091,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bittupalli B.O,506347,BO,Delivery,Mulugu,TELANGANA,18.1910045,80.1690875,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad City Region,Medak Division,Narlapur BO,502102,BO,Delivery,MEDAK,TELANGANA,18.074595,78.540842,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kothapalli v B.O,506170,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3679780,79.7826000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.251473000000001,79.856381499999998,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Repakpalli B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2827041,79.7147792,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2344293,79.7352230,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506165,BO,Delivery,Mulugu,TELANGANA,18.3389210,80.4302319,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sultanpur B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2018606,79.8079134,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nizampalli B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.165649999999999,79.810959999999994,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Gatlakaniparthy B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1340162,79.6803943,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Taharapur B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1269062,79.7084366,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinnakodepak B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1650847,79.7393060,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pathipak B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1020054,79.7058414,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pocharam B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.161560000000001,79.732100000000003,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramtheertham B.O,506350,BO,Delivery,WARANGAL,TELANGANA,18.049019999999999,79.876589999999993,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Donthapur B.O,505425,BO,Delivery,Jagitial,TELANGANA,19.0373464,79.0338275,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Kothapalli B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.2578900,78.5845370,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Mallareddipet B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.3242230,78.6185940,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Narmala B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.3615390,78.6549670,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Rapalli B.O,505532,BO,Delivery,Jagitial,TELANGANA,18.8123700,79.0406660,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Vemulakurthi B.O,505450,BO,Delivery,Jagitial,TELANGANA,18.9632340,78.5991950,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
