name,state,district,source,latitude,longitude,geocode_quality
Panposh APMC,Odisha,Sundergarh,derived_from_market_records,22.11667,84.03333,PPL
Haridwar Union APMC,Uttarakhand,Haridwar,derived_from_market_records,29.94791,78.16025,PPL
Deeg APMC,Rajasthan,Deeg,derived_from_market_records,2.94744,44.10325,PPL
Bhucho APMC,Punjab,Bhatinda,derived_from_market_records,,,
Garh Shankar APMC,Punjab,Hoshiarpur,derived_from_market_records,31.53723,75.91269,PPLA2
Doraha APMC,Punjab,Ludhiana,derived_from_market_records,30.91204,75.85379,PPL
Bisoli APMC,Uttar Pradesh,Badaun,derived_from_market_records,33.75803,70.80705,PPL
Kurali APMC,Punjab,Mohali,derived_from_market_records,30.67995,76.72211,PPL
Boudh APMC,Odisha,Boudh,derived_from_market_records,31.56,-8.28,PPL
Rairakhol APMC,Odisha,Sambalpur,derived_from_market_records,21.46527,83.97573,PPL
Sargipali APMC,Odisha,Sundergarh,derived_from_market_records,22.11667,84.03333,PPL
Dhenkanal APMC,Odisha,Dhenkanal,derived_from_market_records,20.65744,85.59693,PPL
Vadavalli(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Kohima APMC,Nagaland,Kohima,derived_from_market_records,25.67467,94.11099,PPLA
Nutanbazar APMC,Tripura,Gomati,derived_from_market_records,40.39608,23.79547,PPL
PMY Kangni Mandi,Himachal Pradesh,Mandi,derived_from_market_records,31.71194,76.93273,PPL
Padra APMC,Gujarat,Vadodara(Baroda),derived_from_market_records,,,
Pappanchani VFPCK APMC,Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Chhachrauli APMC,Haryana,Yamuna Nagar,derived_from_market_records,30.12796,77.28371,PPL
Gulavati APMC,Uttar Pradesh,Bulandshahar,derived_from_market_records,,,
Barwala(Hisar) APMC,Haryana,Hissar,derived_from_market_records,36.0633,48.581,PPL
Dhand APMC,Haryana,Kaithal,derived_from_market_records,29.80153,76.39959,PPL
Jalalabad APMC,Punjab,Fazilka,derived_from_market_records,30.40207,74.02836,PPLA2
Babain APMC,Haryana,Kurukshetra,derived_from_market_records,29.9657,76.837,PPL
Kosli APMC,Haryana,Rewari,derived_from_market_records,28.199,76.6183,PPL
Pulpally APMC,Kerala,Wayanad,derived_from_market_records,,,
Jaggampet APMC,Andhra Pradesh,East Godavari,derived_from_market_records,,,
Gurgaon APMC,Haryana,Gurgaon,derived_from_market_records,28.4601,77.02635,PPLA2
Sundarapuram(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Neyyatinkara APMC,Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Chengannur APMC,Kerala,Alappuzha,derived_from_market_records,9.49004,76.3264,PPLA2
Harippad APMC,Kerala,Alappuzha,derived_from_market_records,9.49004,76.3264,PPLA2
Pala APMC,Kerala,Kottayam,derived_from_market_records,9.58692,76.52132,PPL
Chavakkad APMC,Kerala,Thirssur,derived_from_market_records,,,
Thrippunithura APMC,Kerala,Ernakulam,derived_from_market_records,9.93988,76.26022,PPL
Meham APMC,Haryana,Rohtak,derived_from_market_records,28.89447,76.58917,PPL
Karanjia APMC,Odisha,Mayurbhanja,derived_from_market_records,,,
Thottippal VFPCK APMC,Kerala,Thirssur,derived_from_market_records,,,
